pdf_name,page,ms,used_text_layer,has_akkadian,llm_applied,timestamp
NABU 1987.1 - 4014.4.pdf,468,371,True,False,False,2025-10-09T19:02:07.876794
Schorr_Urkunden_Altbabylonischen_Zivil_und_Prozessrechts.pdf,184,486,True,False,False,2025-10-09T19:02:08.363972
CAD (N-Z).pdf,2058,964,True,False,False,2025-10-09T19:02:09.328774
"Veenhof, K. & Eidem, J. - Mesopotamia, The Old Assyrian Period. OBO 160.5, 2008.pdf",19,114,True,False,False,2025-10-09T19:02:09.444009
NABU 1987.1 - 4014.4.pdf,1363,268,True,True,False,2025-10-09T19:02:09.713360
"Green, Alberto R. W. - The Storm-God in the Ancient Near East. 2003.pdf",14,6009,True,False,False,2025-10-09T19:02:17.789552
Larsen_2015_Ancient_Kanesh (2015).pdf,28,5264,True,False,False,2025-10-09T19:02:23.054618
"Dercksen, J. G. ed. - Assyria and Beyond, Studies Presented to Mogens Trolle Larsen, FS Larsen. PIHANS 100, 2004.pdf",438,12755,True,False,False,2025-10-09T19:02:35.866886
"Larsen 2010 - The Archive of the Šalim-Aššur Family, Vol. 1. The First Two Generations. (A)TK 6-a, TTKY 33d-a, 2010 (preprint).pdf",144,39858,True,True,False,2025-10-09T19:03:15.777657
"AnSt 30, 1980.pdf",174,1092,True,False,False,2025-10-09T19:03:16.870635
"Klinkott, Kubisch, and Muller-Wollermann, eds - Geschenke und Steuern, Zolle und Tribute. CHANE 29, 2007.pdf",555,97,True,False,False,2025-10-09T19:03:17.896113
Knoppers_et_al_2005_JHS6_chroniclers.pdf,28,591,True,False,False,2025-10-09T19:03:18.509416
"AnSt 44, 1994.pdf",116,37,True,False,False,2025-10-09T19:03:18.582361
Stratford_2015_Eponyms.pdf,21,557,True,True,False,2025-10-09T19:03:24.891158
AKT 7a.pdf,376,134,True,True,False,2025-10-09T19:03:28.962611
"Leinwand, Nancy W. - A Study of Anatolian Weathergods of the Old Assyrian Colony Period. Diss. Bryn Mawr 1984.pdf",113,91,True,False,False,2025-10-09T19:03:29.054532
"AnSt 51, 2001.pdf",142,39,True,False,False,2025-10-09T19:03:29.093911
"Larsen, M. T. - AKT 6a, 2010.pdf",266,39,True,False,False,2025-10-09T19:03:29.133929
AfO Register 31 (1984).pdf,5,887,True,False,False,2025-10-09T19:03:30.022066
CAD (N-Z).pdf,149,739,True,False,False,2025-10-09T19:03:30.761757
"AnSt 2, 1952.pdf",159,34,True,False,False,2025-10-09T19:03:30.796369
AfO Register  (1978-2004).pdf,43,150,True,False,False,2025-10-09T19:03:30.976376
"Yoffee, Norman - The Decline and Rise of Mesopotamian Civilization- An Ethnoarchaeological Perspective on the Evolution of Social Complexity. AmAn 44, 1979 5-35.pdf",16,1622,True,False,False,2025-10-09T19:03:32.598886
"AnSt 12, 1962.pdf",130,56,True,False,False,2025-10-09T19:03:32.655577
"AnSt 8, 1958.pdf",93,6122,True,False,False,2025-10-09T19:03:39.308024
"Lewy, Julius - Die Altassyrischen Rechtsurkunden vom Kultepe 3-4. Teil. MVAG 35, 1935.pdf",192,1058,True,True,False,2025-10-09T19:03:40.367322
CAD (N-Z).pdf,1204,845,True,False,False,2025-10-09T19:03:41.212835
"GKT, 1968.pdf",71,478,True,False,False,2025-10-09T19:03:41.809584
Larsen_2015_Ancient_Kanesh (2015).pdf,53,87,True,False,False,2025-10-09T19:03:41.897724
"AKT 5, 2008.pdf",182,47,True,False,False,2025-10-09T19:03:41.945601
