pdf_path,page_no,success,processing_time,error,timestamp
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 45, 1995.pdf",184,True,4.54,,2025-10-09T11:51:20.974358
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tahsın - Kültepe Kazisi Raporu 1948. Ausgrabungen in Kültepe. TTKY V 10, 1950(cut).pdf",313,True,12.32,,2025-10-09T11:51:33.300334
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tashin - Kültepe-Kaniš. The Palaces and Temples of Kültepe-Kaniš. TTKY V 46, 1999(cut).pdf",10,True,12.79,,2025-10-09T11:51:46.095034
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Veenhof, Klaas R. - The Archive of Kuliya, Son of Ali-abum (Kt. 92-k 188-263). TTKY VI, AKT 5, 2008 (preprint).pdf",132,True,0.37,,2025-10-09T11:51:46.465705
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (N-Z).pdf,3489,True,3.26,,2025-10-09T11:51:49.722646
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,2420,True,1.12,,2025-10-09T11:51:50.848233
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\CAD (A-N).pdf,2426,True,4.62,,2025-10-09T11:51:55.467855
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KUB 7.pdf,36,True,13.07,,2025-10-09T11:52:08.537158
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 25, 1975.pdf",13,True,3.24,,2025-10-09T11:52:11.782355
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AOATT, 1972.pdf",230,True,5.34,,2025-10-09T11:52:17.118657
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Veenhof, Klaas R. - The Relation between Royal Decrees and Law Codes of the Old Babylonian Period. JEOL 35-36, 1997-00 49-83.pdf",18,True,0.50,,2025-10-09T11:52:17.620598
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU 1987.1 - 4014.4.pdf,2960,True,1.58,,2025-10-09T11:52:19.203922
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Hoffner_hoff_trin.PDF,7,True,18.22,,2025-10-09T11:52:37.422435
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\afo_realien.pdf,950,True,1.10,,2025-10-09T11:52:38.524958
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\malkin2002.PDF,2,True,17.78,,2025-10-09T11:52:56.310905
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Schorr_Urkunden_Altbabylonischen_Zivil_und_Prozessrechts.pdf,383,True,1.04,,2025-10-09T11:52:57.353624
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Vorys_Canby_1975_JNES34_WAG_tablet.pdf,9,True,15.07,,2025-10-09T11:53:12.421783
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Rawlinson_Inscr_West_Asia_v4.PDF,34,True,18.30,,2025-10-09T11:53:30.724039
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2).pdf,228,True,16.83,,2025-10-09T11:53:47.550624
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 37, 1987.pdf",110,True,5.64,,2025-10-09T11:53:53.189850
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Walker, C. & M. Dick - The Induction of the Cult Image in Ancient Mesopotamia. The Mesopotamian Mis Pi Ritual. SAALT 1, 2001.pdf",162,True,7.74,,2025-10-09T11:54:00.928502
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Erkanal, Armagan - Die in Anatolien vorkommenden altsyrischen Siegel und Siegelabdrucke. TTKY VI 42, 1993.pdf",299,True,392.81,,2025-10-09T12:00:33.740269
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Landsberger, Benno - Assyrische Handelskolonien in Kleinasien aus dem dritten Jahrtausend (AHK). 1925(cut).pdf",16,True,10.88,,2025-10-09T12:00:44.620408
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Lassen, Agnete - Glyptic Encounters Appendicies.pdf",165,True,4.73,,2025-10-09T12:00:49.350476
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\virolleaud1936.PDF,16,True,11.35,,2025-10-09T12:01:00.698965
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KBo 20.pdf,61,True,16.59,,2025-10-09T12:01:17.294747
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tahsın - Kültepe Kazisi Raporu 1948. Ausgrabungen in Kültepe. TTKY V 10, 1950(cut).pdf",101,True,16.78,,2025-10-09T12:01:34.078099
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AAA 1-2, 1908-9.pdf",363,True,8.71,,2025-10-09T12:01:42.792014
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,1596,True,15.23,,2025-10-09T12:01:58.018735
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\AfO - Assyriologie, Register (1978-2004).pdf",436,True,0.75,,2025-10-09T12:01:58.765805
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Lewy, Julius - Die Altassyrischen Rechtsurkunden vom Kultepe 1-2. Teil. MVAO 33, 1930.pdf",98,True,1.04,,2025-10-09T12:01:59.802336
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\ACC, 1970.pdf",199,True,3.97,,2025-10-09T12:02:03.768659
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Yener_2005_OIP131_Amuq_Reg_Proj.pdf,72,True,3.05,,2025-10-09T12:02:06.820967
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KAH 1 (1911) & 2 (1922).pdf,22,True,1.01,,2025-10-09T12:02:07.832952
