pdf_path,page_no,success,processing_time,error,timestamp
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\malkin2002.PDF,2,True,18.94,,2025-10-09T14:28:19.258509
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Schorr_Urkunden_Altbabylonischen_Zivil_und_Prozessrechts.pdf,383,True,0.88,,2025-10-09T14:28:20.140378
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Vorys_Canby_1975_JNES34_WAG_tablet.pdf,9,True,16.24,,2025-10-09T14:28:36.383050
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Rawlinson_Inscr_West_Asia_v4.PDF,34,True,17.51,,2025-10-09T14:28:53.893847
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2).pdf,228,True,15.78,,2025-10-09T14:29:09.674098
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 37, 1987.pdf",110,True,0.66,,2025-10-09T14:29:10.334568
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Walker, C. & M. Dick - The Induction of the Cult Image in Ancient Mesopotamia. The Mesopotamian Mis Pi Ritual. SAALT 1, 2001.pdf",162,True,8.00,,2025-10-09T14:29:18.336587
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Erkanal, Armagan - Die in Anatolien vorkommenden altsyrischen Siegel und Siegelabdrucke. TTKY VI 42, 1993.pdf",299,True,10.01,,2025-10-09T14:29:28.346198
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Landsberger, Benno - Assyrische Handelskolonien in Kleinasien aus dem dritten Jahrtausend (AHK). 1925(cut).pdf",16,True,11.34,,2025-10-09T14:29:39.688526
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Lassen, Agnete - Glyptic Encounters Appendicies.pdf",165,True,0.64,,2025-10-09T14:29:40.344355
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\virolleaud1936.PDF,16,True,11.82,,2025-10-09T14:29:52.161305
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KBo 20.pdf,61,True,15.59,,2025-10-09T14:30:07.754732
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Özgüç, Tahsın - Kültepe Kazisi Raporu 1948. Ausgrabungen in Kültepe. TTKY V 10, 1950(cut).pdf",101,True,18.08,,2025-10-09T14:30:25.836756
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AAA 1-2, 1908-9.pdf",363,True,1.98,,2025-10-09T14:30:27.821195
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\NABU (missing 1999 no.2) (2).pdf,1596,True,15.31,,2025-10-09T14:30:43.131913
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Text References\AfO Register\AfO - Assyriologie, Register (1978-2004).pdf",436,True,0.73,,2025-10-09T14:30:43.865622
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Lewy, Julius - Die Altassyrischen Rechtsurkunden vom Kultepe 1-2. Teil. MVAO 33, 1930.pdf",98,True,0.77,,2025-10-09T14:30:44.635892
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\ACC, 1970.pdf",199,True,0.69,,2025-10-09T14:30:45.323106
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Yener_2005_OIP131_Amuq_Reg_Proj.pdf,72,True,0.41,,2025-10-09T14:30:45.732695
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\KAH 1 (1911) & 2 (1922).pdf,22,True,0.96,,2025-10-09T14:30:46.698317
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Melchert_LUVLEX.pdf,288,True,0.48,,2025-10-09T14:30:47.182461
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Albayrak_2005_JEOL39_5urkunden.PDF,5,True,0.45,,2025-10-09T14:30:47.633574
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AAA 1-2, 1908-9.pdf",137,True,1.74,,2025-10-09T14:30:49.370818
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\kupper1973 (1).PDF,10,True,15.91,,2025-10-09T14:31:05.279525
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\AnSt 34, 1984.pdf",5,True,0.70,,2025-10-09T14:31:05.976819
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\klengel1969.PDF,2,True,20.10,,2025-10-09T14:31:26.079005
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\ICK 2, 1962.pdf",139,True,0.76,,2025-10-09T14:31:26.841868
G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\pardee1978d (3).PDF,2,True,15.14,,2025-10-09T14:31:41.987008
"G:\.shortcut-targets-by-id\1VhQSilnVXpZtOWwAtGF6_s1zhfBIlLWU\Secondary Sources\Anatolica 28, 2002.pdf",66,True,14.07,,2025-10-09T14:31:56.054970
